title,location,minimum_qualifications,link
Software Engineer,"Seattle, WA, USA","- 1+ years of professional software development experience
- A track record of building consumer-facing products that users love
- Mastery of modern programming languages and frameworks
- Sharp problem-solving skills with a focus on algorithms, data structures, and schema design
- Bachelor's degree in Computer Science or equivalent real-world experience",https://www.amazon.jobs/en/jobs/3092174/software-engineer
Software Engineer I,"San Francisco, CA, USA, Seattle, WA, USA","- 1+ years of non-internship professional software development experience
- 0-2 years of professional software development experience
- Excellent verbal and written communication skills; Ability to effectively collaborate with teammates is critical to success.
- A track record of building consumer-facing products that users love
- Demonstrable experience of modern programming languages and frameworks
- Sharp problem-solving skills with a focus on algorithms, data structures, and schema design
- Bachelor's degree in Computer Science or equivalent real-world experience",https://www.amazon.jobs/en/jobs/3155750/software-engineer-i
Software Engineer I,"San Francisco, CA, USA, Seattle, WA, USA","- 1+ years of non-internship professional software development experience
- 0-2 years of professional software development experience
- Excellent verbal and written communication skills; Ability to effectively collaborate with teammates is critical to success.
- A track record of building consumer-facing products that users love
- Demonstrable experience of modern programming languages and frameworks
- Sharp problem-solving skills with a focus on algorithms, data structures, and schema design
- Bachelor's degree in Computer Science or equivalent real-world experience",https://www.amazon.jobs/en/jobs/3141336/software-engineer-i
"Senior Software Engineer, Twitch","Seattle, WA, USA, San Francisco, CA, USA","- 5+ years of non-internship professional software development experience
- 5+ years of programming with at least one software programming language experience
- 5+ years of leading design or architecture (design patterns, reliability and scaling) of new and existing systems experience
- Experience as a mentor, tech lead or leading an engineering team
- 6+ years of hands-on infrastructure, troubleshooting, systems administration, networking, DevOps or applications development experience
- Strong hands-on expertise with cloud platforms
- Proficiency in data pipeline tools (e.g., Airflow, dbt, AWS Glue, Flink).
- Experience with data storage technologies (e.g., Redshift, Snowflake, BigQuery, Delta Lake, Iceberg, Parquet).
- Proficiency in GO, SQL, and Python for building and maintaining data systems.
- Solid understanding of distributed systems and performance optimization.",https://www.amazon.jobs/en/jobs/3138042/senior-software-engineer-twitch
"Software Engineer II, Android","San Francisco, CA, USA, Irvine, CA, USA, Seattle, WA, USA","- 3+ years of non-internship professional software development experience
- 2+ years of non-internship design or architecture (design patterns, reliability and scaling) of new and existing systems experience
- 1+ years of software development engineer or related occupational experience
- 1+ years of designing and developing large-scale, multi-tiered, multi-threaded, embedded or distributed software applications, tools, systems, and services using: C#, C++, Java, or Perl experience
- 1+ years of Object Oriented Design experience
- Bachelor's degree or foreign equivalent in Computer Science, Engineering, Mathematics, or a related field
- Experience programming with at least one software programming language",https://www.amazon.jobs/en/jobs/3166054/software-engineer-ii-android
Principal Software Engineer-AMZ9082654,"Seattle, WA, USA","- providing technical leadership and project management for all aspects of the software development lifecycle
- Designing and developing large-scale, multi-tiered, distributed software applications, tools, systems, or services using distributed programming
- hands-on experience with Kubernetes scalability and building large scale system on Kubernetes",https://www.amazon.jobs/en/jobs/3184228/principal-software-engineer-amz9082654
"Software Engineer II, Android","San Francisco, CA, USA, Irvine, CA, USA, Seattle, WA, USA","- 3+ years of Android development experience
- Strong proficiency in Kotlin and modern Android development practices
- Deep understanding of Android SDK, Jetpack libraries, and Android architecture components
- Experience building and shipping production Android applications to the Google Play Store
- Experience leveraging AI-powered development tools (such as GitHub Copilot, Cursor, or similar) to accelerate development",https://www.amazon.jobs/en/jobs/3138330/software-engineer-ii-android
"Sr. Software Engineer, Manager","San Francisco, CA, USA, Culver City, CA, USA, Irvine, CA, USA, New York, NY, USA, Seattle, WA, USA","- 5+ years of software development experience
- BA/BS in computer science or equivalent industry experience
- 3+ years of experience as software engineering manager
- Development experience in one or more general purpose programming languages such as: Golang, Python, C/C++, Java
- Experience designing or architecting (design patterns, reliability, and scalability) of new and existing systems
- Proven ability to identify user needs and deliver customer-centric product solutions
- Experience developing and running large-scale consumer services",https://www.amazon.jobs/en/jobs/3144309/sr-software-engineer-manager
"Software Engineer, Monetization ML","Seattle, WA, USA, New York, NY, USA","- Bachelor's degree in Computer Science, Engineering, or a related field
- 1+ years of professional software development experience with a focus on building scalable systems
- Experience building production ML infrastructure, including model deployment, serving, and monitoring systems
- Proficiency in modern programming languages (Python, Java, Go) and distributed system technologies
- A track record of building APIs and integrating systems that handle high-throughput, low-latency requirements
- Understanding of data processing pipelines and experience with streaming technologies (Flink, Kafka, or similar)
- Sharp problem-solving skills with a focus on algorithms, data structures, and distributed system design",https://www.amazon.jobs/en/jobs/3113621/software-engineer-monetization-ml
"Software Engineer, Mobile Manipulation Robotics","North Reading, MA, USA, Bellevue, WA, USA","- 3+ years of non-internship professional software development experience
- 2+ years of non-internship design or architecture (design patterns, reliability and scaling) of new and existing systems experience
- 1+ years of software development engineer or related occupational experience
- 1+ years of designing and developing large-scale, multi-tiered, multi-threaded, embedded or distributed software applications, tools, systems, and services using: C#, C++, Java, or Perl experience
- 1+ years of Object Oriented Design experience
- Bachelor's degree or foreign equivalent in Computer Science, Engineering, Mathematics, or a related field
- Experience programming with at least one software programming language",https://www.amazon.jobs/en/jobs/10372791/software-engineer-mobile-manipulation-robotics
